"GEOID","crp_expire_2017","crp_expire_2018","crp_expire_2019","crp_expire_2020","crp_expire_2021","crp_expire_total","crp_expire_share"
29001,2406,622.1,162.8,3783.66,3787.8,10762.36,0.0296412940540985
29003,1328.8,751.2,73.2,1400.6,1259.1,4812.9,0.0173822688409319
29005,143.3,143.8,99.3,200.4,310.7,897.5,0.00256236685689982
29007,505.99,311.9,259.8,891.24,1734.7,3703.63,0.00835960062680358
29009,11.3,6.4,5.7,25,NA,48.4,9.71891708871698e-05
29011,984.85,1872.24,1386.29,1677.68,1121.05,7042.11,0.0185857299443297
29013,549.8,822.5,162.7,753.5,601.2,2889.7,0.00539641838653291
29015,109.2,143.4,9.3,82.9,103.2,448,0.000994272756512253
29017,360.5,2.8,11.4,220.4,238,833.1,0.00210667078033338
29019,550,156.3,48.5,448.9,869.2,2072.9,0.00472450608777292
29021,399.6,212,242.7,650.6,601.6,2106.5,0.00806225497300417
29023,17.9,76.3,NA,12.5,40.8,147.5,0.000331727523173868
29025,8430.55000000001,4223.54,224.1,2887.2,1586,17351.39,0.0635835292725624
29027,1320.4,326.7,59.2,1047.25,1979.3,4732.85,0.00886101180298185
29029,26.6,NA,7.8,NA,NA,34.4,8.19439855667899e-05
29031,3251.2,593.1,212.7,940.88,817.3,5815.18,0.0157060871718589
29033,5063.31,1490.1,476.3,3170.1,3584.7,13784.51,0.0310072818013681
29037,82.7,589.7,202.8,1478.9,1581.96,3936.06,0.00882851897736837
29039,100.1,9.6,35,182.1,91.94,418.74,0.00137897583521228
29041,783.42,858.64,292.09,5412.18,2772.13,10118.46,0.0210471005463268
29043,4.8,NA,NA,NA,NA,4.8,1.33309165546484e-05
29045,3501.44,119,199.4,2494.48,2126.9,8441.22,0.0261380454959928
29047,251.6,417.8,88.3,40.7,NA,798.4,0.00313712072134794
29049,1709.9,689.74,71,948.9,1350.01,4769.55,0.0177887822067528
29051,205.9,112.4,133.6,161.8,49,662.7,0.00264465605860309
29053,1418.5,125.3,358,1077.1,361.3,3340.2,0.00924145270331093
29055,13.2,17,56.9,78.6,18.4,184.1,0.000387428573667782
29057,23,462.7,63.1,278.1,243,1069.9,0.00341160412755922
29061,2478.84,5272,387.1,6420.12,6032.58,20590.64,0.0571168701609885
29063,1803.62,279.89,274.6,1826.98,3096.4,7281.49,0.0270016072316504
29067,200.1,NA,23.2,39.9,3.5,266.7,0.000512177449293803
29069,19.5,NA,100.4,135.8,100,355.7,0.00102559974707143
29071,677.15,50.9,15.16,176.2,419.2,1338.61,0.00226731975879566
29073,136.5,128,32.8,267.1,170.4,734.8,0.0022121697633871
29075,1928.6,1703.16,383.59,5695.34,15938.47,25649.16,0.081552894257214
29077,2.7,NA,NA,6.2,2.1,11,2.54506064184902e-05
29079,649.43,202.9,16.5,2432.7,7087.9,10389.43,0.0372933076100858
