"county_name","state_fips_code","county_code","year","n_farms","acres_operated","net_income","land_value_acre","GEOID","nlcd_year"
"ADAIR","29","001",2002,915,269177,6399000,1012,"29001",2001
"ANDREW","29","003",2002,847,223295,5971000,1838,"29003",2001
"ATCHISON","29","005",2002,465,317652,14681000,1642,"29005",2001
"AUDRAIN","29","007",2002,1089,415192,28981000,1601,"29007",2001
"BARRY","29","009",2002,1669,321319,1572000,1678,"29009",2001
"BARTON","29","011",2002,960,336912,8642000,1000,"29011",2001
"BATES","29","013",2002,1293,468118,7830000,1199,"29013",2001
"BENTON","29","015",2002,839,258867,2573000,1115,"29015",2001
"BOLLINGER","29","017",2002,913,228067,2246000,1292,"29017",2001
"BOONE","29","019",2002,1388,269605,4910000,2544,"29019",2001
"BUCHANAN","29","021",2002,848,200150,3736000,1790,"29021",2001
"BUTLER","29","023",2002,673,247820,12215000,1499,"29023",2001
"CALDWELL","29","025",2002,959,230313,2985000,1369,"29025",2001
"CALLAWAY","29","027",2002,1494,357517,12612000,1780,"29027",2001
"CAMDEN","29","029",2002,623,178495,2215000,1254,"29029",2001
"CAPE GIRARDEAU","29","031",2002,1204,260980,6612000,1891,"29031",2001
"CARROLL","29","033",2002,1081,417080,21726000,1295,"29033",2001
"CARTER","29","035",2002,228,92560,-565000,1048,"29035",2001
"CASS","29","037",2002,1635,313532,9503000,1844,"29037",2001
"CEDAR","29","039",2002,952,228063,-89000,1146,"29039",2001
"CHARITON","29","041",2002,1095,378637,20317000,1333,"29041",2001
"CHRISTIAN","29","043",2002,1294,213477,3859000,2387,"29043",2001
"CLARK","29","045",2002,685,253555,9900000,1165,"29045",2001
"CLAY","29","047",2002,683,128118,7608000,3392,"29047",2001
"CLINTON","29","049",2002,889,226442,4101000,1541,"29049",2001
"COLE","29","051",2002,1098,185689,3312000,1974,"29051",2001
"COOPER","29","053",2002,923,293966,10479000,1332,"29053",2001
"CRAWFORD","29","055",2002,751,217667,-515000,1247,"29055",2001
"DADE","29","057",2002,893,296167,8093000,1277,"29057",2001
"DALLAS","29","059",2002,1243,234739,7192000,1396,"29059",2001
"DAVIESS","29","061",2002,1029,330410,5709000,1176,"29061",2001
"DE KALB","29","063",2002,833,225340,4192000,1139,"29063",2001
"DENT","29","065",2002,693,210108,-1836000,991,"29065",2001
"DOUGLAS","29","067",2002,1160,312461,3288000,1071,"29067",2001
"DUNKLIN","29","069",2002,429,297031,17901000,1936,"29069",2001
"FRANKLIN","29","071",2002,1833,300212,1509000,2431,"29071",2001
"GASCONADE","29","073",2002,877,222214,359000,1586,"29073",2001
"GENTRY","29","075",2002,821,291540,9346000,1156,"29075",2001
"GREENE","29","077",2002,2122,274815,4494000,3299,"29077",2001
"GRUNDY","29","079",2002,735,211895,7451000,1024,"29079",2001
"HARRISON","29","081",2002,1101,388160,9481000,951,"29081",2001
"HENRY","29","083",2002,1010,337880,4010000,1209,"29083",2001
"HICKORY","29","085",2002,534,156143,1875000,1082,"29085",2001
"HOLT","29","087",2002,486,252263,14604000,1491,"29087",2001
"HOWARD","29","089",2002,806,270228,12404000,1334,"29089",2001
"HOWELL","29","091",2002,1743,413958,2316000,1372,"29091",2001
"IRON","29","093",2002,299,70520,-106000,1332,"29093",2001
"JACKSON","29","095",2002,807,145454,3767000,3675,"29095",2001
"JASPER","29","097",2002,1390,288792,4935000,1494,"29097",2001
"JEFFERSON","29","099",2002,764,124905,-1843000,2635,"29099",2001
"JOHNSON","29","101",2002,1811,412979,644000,1693,"29101",2001
"KNOX","29","103",2002,643,249139,6612000,1391,"29103",2001
"LACLEDE","29","105",2002,1394,318958,3749000,1377,"29105",2001
"LAFAYETTE","29","107",2002,1286,363186,15401000,1831,"29107",2001
"LAWRENCE","29","109",2002,1852,316410,16285000,1777,"29109",2001
"LEWIS","29","111",2002,838,284450,12482000,1106,"29111",2001
